,summary,quality,people,process,documentation,SM_first,SM_second,SM_third,phase
229,An experience report on factors that affect when having solution information in requirements is sensible and when it should be avoided in order to increase the understanding of practitioners.,understandability,,,,,,,
230,An experience report on the integration of software architecting and decision-making methods in order to select a common service oriented architecture tool that could satisfy the needs of different business units.,,,decision-making,,architecture,,,
231,A method for using defect taxonomies in order to improve requirements reviews and testing.,,,quality assurance,,,,,validation and verification
232,A method for metric-based prediction of requirements that are likely to evolve in order to narrow the scope of change analysis to a small set of requirements.,,,evolution,,,,,
233,A solution for automatically mapping newly defined system requirements to corresponding system components in order to prevent requirements inconsistencies and help identify further necessary requirements.,consistency,,automation,,,,,elicitation
234,A method for mapping natural language policy requirements to a formal representation in order to to reason about conflicting requirements within a single policy and among multiple policies in a data supply chain.,consistency,,formalization,natural language,,,,validation and verification
235,A discussion on the major challenges of reviewing requirements specifications in industry in order to align research activities to add more value for the software industry.,,,quality assurance,,,,,
236,"A literature review on visual requirements analytics, a field that aims at increased interactivity of requirements visualization in order to lead to actionable decisions",,,"visualization, decision-making",,,,,
237,A multi-case study on the readability of policy documents for requirements engineers and assessing if automated text mining can indicate whether a policy document contains requirements,understandability,,automation,,other,,,elicitation
238,An interview-based study with practitioners on the quality and suitability of a project's traceability strategy in order to identify common problems across traceability strategies and their possible causes.,traceability,,,,,,,
239,"A data-driven study on requirements artifacts and processes in open source systems, where classical software engineering is not employed in order to identify risks of development failures and consequences for system quality.",,,,general,process,,,
240,A project-based study with students on a semi-automatic tool to capture implicit traceability links from requirements to code in order to evaluate the feasibility and practicability.,traceability,,automation,,,,,
241,A case study for validating a tool that automatically checks the conformance of requirements to a given template in order to reduce ambiguity in natural language requirements,unambiguousness,,automation,natural language,,,,
242,An experiment with students for investigating the relationship between time pressure and efficiency in test case development and requirement review,,,,,tests,,,validation and verification
243,A method for self-adapting the architecture of a software system to the changing requirements and contexts at runtime in order to improve effectiveness and flexibility of adaptation,,,"evolution, execution",,architecture,,,
244,A method for extracting a model showing traces between software artifacts and analysing this model to identify areas of traceability failure,traceability,,modeling,,,,,validation and verification
245,An online survey with practitioners and academics on how users and developers from various geographical locations perceive privacy and which concrete measures would mitigate their privacy concerns,,subjectivity,,,quality ====>,other ====>,privacy,
246,A method for extracting and refining privacy requirements for mobile applications from raw data gathered through empirical studies involving end users,,,,,quality ====>,other ====>,privacy,elicitation
247,A method for describing uncertainty about the impact of design alternatives on stakeholders' goals and calculate the consequences of such uncertainty,uncertainty,,,,goals,,,
248,An experiment with students on the effects of present customer desires as requirements or as ideas on design creativity,,creativity,,,,,,elicitation
249,A method for deriving structured requirements models in the form of process diagrams and ontologies from textual use case requirements ,,,modeling,use case,,,,
250,A case study on the use of issue tickets generated by stakeholders' requests to track requirements evolution for a large-scale system ,,,evolution,review report,,,,management
251,"A framework for allowing requirements engineers and non-technical stakeholders to perform model checking during elicitation, analysis and verification of system requirements",,,automation,,,,,"elicitation, validation and verification"
252,An experience report for presenting and comparing examples of various approaches to teaching RE in order to inspire instructors to seek additional learning approaches.,,,,,,,,
253,"A online survey with researchers and academics for identifying benefits, domain areas, and challenges for social adaptation.",,,,,,,,
254,A method for systematically managing obstacles and refining compliance goals in order to support the elaboration of compliance requirements.,,,,,"goals, quality ====>",other ====>,,elicitation
255,A method for detecting inconsistencies in temporal constraints in order to verify the consistency of temporal requirements ,consistency,,,,,,,validation and verification
256,A model for capturing and representing traceability in order to provide safety evidence on safety-critical systems,traceability,,,,quality ====>,other ====>,safety,
257,A method for comparing the results of multiple priority-based decision heuristics in order to identify the best heuristics for deciding which requirements should be refined/elaborated first. ,,,"prioritization, decision-making",,,,,
258,A method for weaving the feedback from the runtime system into requirements documents in order to keep development time and runtime requirement models consistent,consistency,,execution,,,,,documentation
259,An experiment with students for exploring the effect of collaborative interactions between clients and analysts in the process of requirements validation. ,,collaboration,,,,,,validation and verification
260,An experience report for identifying understandability issues of formal specifications and providing writing style guidelines in order to make formal specifications understandable.,understandability,,formalization,,,,,documentation
261,"A method for acquiring, modeling and analyzing regulatory requirements in order to conform to regulations on safety-critical system.",,,modeling,,quality ====>,other ====>,legal and regulations,elicitation
262,An interview-based study for understanding current practices of user-developer communication in IT projects in order to identify issues and enhance user-developer communication.,,communication,,,,,,
263,An online survey with practitioners for identifying causal relationships between requirements elicitation issues and project performance in order to strengthen the execution of RE activities and reduce risk on project performance,,,,,,,,elicitation
264,An interview-based study with practitioners for understanding how the game industry applies RE in practice,,,,,,,,
265,A method for identifying unwanted interaction between requirements in order to address the diverse interests of different stakeholders in a coherent way,consistency,,,,,,,
266,A case study for comparing different approaches to categorization of natural language requirements in order to understand the best way to achieve effective communication and prioritization,,communication,prioritization,natural language,,,,
267,A method for transforming requirements for service-based systems to QoS-aware choreography specification in order to deliver more adaptive software systems,,,,,,,,documentation
268,A method for measuring and improving the completeness of natural language requirements with respect to the input documents in order to include all the relevant information from these documents,completeness,,quality assurance,natural language,,,,
269,A literature study for identifying and categorizing research in self-adaptive systems requirements modeling and analysis ,,,modeling,,,,,
270,A method for resolving exceptional conditions that may obstruct the behavioral goals of the target system in order to progress towards a more complete model of stakeholder goals.,completeness,,,goal model,goals,,,
271,An experience report on the adoption of a persona-centric requirements framework in order to show its ability to quantify user experience.,,,,,,,,
272,A case study on collaboration networks between small and medium-sized software companies in order to investigate the impact to software product management and requirements engineering practices.,,collaboration,,,,,,
273,A case study on a protocol for deriving functional safety requirements from Fault Tree Analysis results in order to increase the safety of critical systems.,,,,,quality ====>,other ====>,safety,
274,A case study on requirements engineering in open commercial development models describing the flow of product requirements information through the ecosystem,,,,,,,,
275,A method for specifying and validating feature-oriented requirement models in order to avoid behavioral inconsistencies between features.,consistency,,,feature model,,,,"documentation, validation and verification"
276,A method for finding suitable trade-offs and priorities when complying with multiple regulations while at the same time trying to meet business objectives.,,,"prioritization, decision-making",,quality ====>,other ====>,legal and regulations,
277,"A solution for automatically filtering, aggregating, and analyzing user reviews to systematically analyze user opinions about single features",,,automation,review report,feature,,,
278,A case study on the transformation of a set of natural language functional requirements to a semi-formal pattern notation in order to investigate the applicability of this process in the automotive domain.,,,formalization,natural language,functional,,,
279,A method for representing requirements and conflicts as a jigsaw puzzle in stakeholder meetings in order to improve commitment of stakeholders in co-authoring of requirements and co-responsibility in conflict handling,,other,,,,,,negotiation
280,A solution for automatically detecting cross references in legal documents and linking them to the target provisions in order to improve the elaboration of compliance requirements.,,,automation,,quality ====>,other ====>,legal and regulations,
281,A method for requirements discovery for health care systems in order to increase the acceptance by the target user community.,,,,,,,,elicitation
282,A method for selecting the most appropriate security requirements pattern in order to decrease the time spent in the requirements elicitation process and improve the quality of the product.,,,,,quality ====>,security,,elicitation
283,An interview-based study on how game developers reason about gameplay requirements and handle them in their projects in order to improve the elicitation and validation of gameplay requirements.,,,,,,,,"elicitation, validation and verification"
284,A method for requirements elicitation based on interactions of autonomous parties and the participants' social relationships in order to improve the requirements engineering for sociotechnical systems,,collaboration,,,,,,elicitation
285,An experience report on the use of a method for discovering customer requirements to configure an off-the-shelf software package.,,,configuration,,,,,elicitation
286,A solution for automatically identifying security-relevant sentences in natural language requirements and translating them into functional security requirements in order to strengthen the overall security of the system.,,,automation,natural language,quality ====>,security,,
287,"A method for estimating the size of an application previous to its requirements specification by using the application language itself, captured by a lexicon in order to get estimations earlier.",,,other,,,,,management
288,A solution for extracting familiar ideas from the documented requirements and stakeholders' comments and automatically obtaining unfamiliar idea combinations in order to generate innovative requirements.,other,,,,,,,elicitation
289,"An interview-based study on how practitioners understand, capture, and use business rules in order to describe constraints in a domain.",,,,,,,,
290,A case study on the requirement elicitation for a recommender system that supports therapists in selecting motion-based video games to treat patients with brain injuries.,,,,,,,,elicitation
291,A method for eliciting quality-impact relationships and using them to specify quality requirements in order to achieve good-enough quality.,,,,,quality ====>,generic,,elicitation
292,"A method for visualizing how IT impacts are linked to business value, and how much and when value is realised in order to evaluate IT business value on a company level.",,,visualization,,,,,
293,"An experience report on a system provider/sub-contractor collaboration centered around design-level requirements in order to report lessons learned regarding requirements representations, requirements tools, and cooperation process.",,collaboration,,,,,,
294,A solution for combining adaptation decisions based on goals with past experiences of successful adaptations in order to improve adaptation effectiveness and overall system quality.,,,decision-making,,goals,,,
295,A method for analyzing goal satisfaction resulting from resolved uncertainty in order to support early requirements decision-making in the presence of uncertainty.,uncertainty,,decision-making,,goals,,,
296,A solution for exploiting the information contained in previously defined trace links in order to facilitate the creation and ongoing maintenance of trace links as the requirements evolve.,traceability,,evolution,,,,,
297,A method for assessing the quality of RE processes and artifacts in a company in order to identify issues and potential improvements,general,,quality assurance,general,process,,,
298,An experience report on using goal modelling to incorporate sustainability into the procurement system of a large multinational energy company in order to evaluate the suitability of the technique for such a purpose,,,,goal model,"goals, quality ====>",other ====>,sustainability,
299,"A method for detecting vulnerabilities in requirements of long-living software systems based on reported security incidents in order to keep long-living systems ""up-to-date"" with respect to security.",,,evolution,,quality ====>,security,,
300,An experience report on applying a combination of RE methods to elicit performance requirements in an existing system from the process automation domain in order to improve performance testing.,,,,,quality ====>,performance efficiency,,"elicitation, validation and verification"
301,A study based on experiments with crowd workers on extracting requirements from natural language text sources by untrained workers in order to evaluate the cost and quality of crowdsourcing RE tasks.,,skills,,natural language,,,,elicitation
302,A data-driven study on the use of a requirements inspection methodology in more than 140 projects in order to discover correlations between requirements specification quality and project costs or product quality.,general,,quality assurance,,,,,validation and verification
303,A method for identifying ambiguity in legal texts in order to prevent software engineers from implementing software that does not comply with the regulations.,unambiguousness,,,natural language,quality ====>,other ====>,legal and regulations,
304,"A modeling language for defining non-functional requirements (NFRs) based on the fulfillment of other requirements in order to specify unambiguous, de-idealized, and measurable NFRs.","verifiability, unambiguousness",,modeling,,quality ====>,generic,,
305,A method for capturing the uncertainty of feature evolution in feature models in order to decide which features to implement next.,uncertainty,,evolution,feature model,,,,
306,A method for locating where software should be refactored and which refactorings should be applied in order to fulfil unsatisfied stakeholder goals.,,,,,"other, goals",,,
307,A solution for writing or speaking trace queries in natural language in order to lower the barrier for utilizing trace data.,traceability,,,natural language,,,,
308,An experience report on representing and reusing product knowledge for product customization in order to identify requirements for product variants.,,,"configuration, reuse",,,,,elicitation
309,"A solution for automatic extraction and modeling of quality concerns from textual documents such as requirements, feature requests, and online forums in order to elicit quality requirements",,,"automation, modeling",,quality ====>,generic,,elicitation
310,A case study on the use of a tool for specifying requirements based on two types of knowledge-reuse artifacts in order to evaluate the effects on requirements ambiguity and inconsistency.,"consistency, unambiguousness",,reuse,,,,,documentation
311,An experience report on eliciting user requirements with a non-standard user population: visually impaired users.,,,,,,,,elicitation
312,A solution for identifying violations of security requirements that may be caused by topological changes of the environment and selecting security controls that prevent such violations.,,,,,quality ====>,security,,validation and verification
313,"An online survey on the ability of laypersons, technical professionals, and legal experts to judge the similarity between legal coverage conditions and requirements.",,skills,,,quality ====>,other ====>,legal and regulations,
314,An experiment with students for determining whether practicing mindfulness for four weeks enhances conceptual modelling skills in order to improve professional performance of software engineers,,skills,modeling,,,,,
315,"An interview-based study with practitioners for understanding how software architects working on large, distributed projects are involved in engineering quality requirements.",,collaboration,,,quality ====>,generic,,
316,An online survey with practitioners and academics for validating the acceptance and impact of an approach based on artifacts and scenarios,,,,scenarios,,,,
317,A case study for validating a technique for clustering keywords extracted from natural-language requirements in order to support the automatic construction of project glossaries,,,automation,natural language,,,,
318,A case study for including quality requirements in a software release planning technique in order to demonstrate the benefits in terms of release time and product scope,,,,,quality ====>,generic,,
319,An experience report on the use of a lean methodology to identify security requirements in order to integrate them in the software production cycle,,,,,quality ====>,security,,elicitation
320,An experiment with students for assessing a technique that automatically suggests appropriate security requirements templates implied by existing functional requirements,,,automation,,"functional, quality ====>",security,,documentation
321,A method for the efficient model-based verification of product line requirements in order to detect and correct requirement errors early.,general,,modeling,,,,,validation and verification
322,A method for automatically extracting goal and use case models from natural language requirements documents in order to support further analysis of the extracted models.,,,automation,"goal model, use case, natural language",,,,
323,A case study for identifying metrics that evaluate feature models in order to quantify the success of feature models in practice.,,,,feature model,,,,
324,A method for transforming informal requirements into formal ones in order to reduce requirements defects.,general,,formalization,,,,,
325,An industrial study using interviews and surveys for investigating the design of Digital Addiction labels in order to meet ethical and professional requirements.,,,,,quality ====>,other ====>,,
326,A workshop-based industrial study on the usability of user stories in order to embed human values in the requirements engineering process.,,other,,user story,process,,,
327,A set of metrics for assessing and quantifying requirement relations in agile development in order to estimate implementation risk of requirements. ,,,other,,risk,,,
328,A case study on the customer challenges and demands on requirements engineering processes in order to bring the customer perspective into outsourced projects.,,collaboration,,,process,,,
329,An industrial study using experiments and focus groups for understanding whether the use of catalogs of threats and security controls affects the actual and perceived effectiveness of a security risk assessment method.,,,,,"risk, quality ====>",security,,
330,A literature study for identifying and categorizing prioritization criteria in order to customize prioritization criteria to a particular project situation.,,,prioritization,,,,,
331,A case study for evaluating a particular approach to release planning in order to reach the market as early as possible with a competitive level of quality.,,,,,,,,
332,A method for analyzing and enforcing security mechanisms on system requirements in order to precisely capture the impact of security in the system.,,,,,quality ====>,security,,
333,A method for integrating several types of contextual information into a diagrammatic representation in order to improve the validation of functional safety requirements.,,,modeling,other,quality ====>,other ====>,safety,validation and verification
334,An experiment with students for assessing an existing availability risk assessment method in order to improve its reliability.,,,,,risk,,,
335,A method for the mutual adjustment of conflicting requirements between business and IT perspectives in order to get seamless alignment between these two perspectives.,consistency,,,,,,,
336,A method for modeling and reasoning about information quality at requirements level in order to avoid low-quality information for critical systems.,general,,modeling,,,,,
337,A method for semi-automatically translating natural language requirements into a formal language in order to validate natural language requirements,,,"formalization, automation",natural language,,,,validation and verification
338,A method for consolidating behavioral requirements and functional design in order to avoid behavioral requirements of the system become outdated.,other,,quality assurance,,"functional, architecture",,,
339,An interview-based study with practitioners for understanding how practitioners in various roles use requirements artifacts in order to support better requirements communication.,,communication,,general,,,,
340,A method for integrating user feedback involving geographically dispersed stakeholders in order to facilitate forum-based requirements elicitation.,,,,review report,,,,elicitation
341,An experiment with practitioners and students on generating creative ideas and requirements in creativity workshops in order to evaluate the effectiveness of different creativity techniques.,,creativity,,,,,,elicitation
342,A method for managing uncertainty about estimates of likelihoods of obstacles to goal satisfaction in order to facilitate risk-based methods for RE.,uncertainty,,,,"risk, goals",,,
343,A method for analyzing feature life cycles in app stores in order to help app developers identify trends and find undiscovered requirements.,,,,,feature,,,elicitation
344,"An experience report on practical realities an organization faces in attempting to reuse requirements, including a requirements reuse process, encountered problems, obtained results, and plans for future improvement of the process.",,,reuse,,process,,,
345,A solution for checking 14 quality criteria in user stories that user story writers should strive to conform to in order to turn raw user stories into higher-quality ones.,,,quality assurance,user story,,,,
346,A method for analyzing privacy properties in service-oriented architectures based on a data flow model in order to reduce privacy and security risks when integrating third-party services.,,,,,"architecture, quality ====>",other ====>,privacy,
347,A method for semi-automatically exposing whether the unanticipated behavior of the operational context can result in undesired system states.,,,automation,,,,,validation and verification
348,A study based on an online-survey on how changes to security requirements affect analysts' risk perceptions in order to understand how the analysts perceive risks in composed systems.,,,evolution,,"risk, quality ====>",security,,
349,A literature study for identifying dependent variables used in experimental requirements engineering research.,,,,,,,,
350,A model for monitoring the compliance of a System of Systems (SoS) with its requirements at runtime.,,,execution,,,,,
351,A data-driven study for comparing several probabilistic techniques to classify app reviews from app stores in order to assess their accuracy.,,,automation,review report,,,,
352,A document-driven study for understanding and classifying ambiguity occurring in customer-analyst interviews in order to improve the use of interviews during requirements elicitation.,unambiguousness,,,other,,,,elicitation
353,A method for acquiring the knowledge of various stakeholders along multiple dimensions of problem space and design space in order to elicit the users' requirements in self-adaptive systems.,,,,,,,,elicitation
354,An interview-based study for identifying categories of probing questions in order to prompt business analysts to elicit architecturally significant functional requirements.,,,,,"functional, architecture",,,elicitation
355,A solution for specifying preferences over goals through natural language statements in order to the comparison of alternatives during the specification process.,,,,natural language,goals,,,
356,An interview-based study with practitioners on the flow of requirements in the process of automotive software development and strategies to refine requirements iteratively throughout their life-cycle.,,,other,,process,,,
357,A method for inferring the test status of requirements based on the test status of structurally related requirements in order to better assess the quality of the system.,,,quality assurance,,tests,,,validation and verification
358,A solution for determining the quality of trace links and detecting unacceptable deviations in order to support the systematic assessment of a project's traceability.,traceability,,quality assurance,,,,,management
359,"An experience report on challenges in creating testable experience requirement for entertainment applications (e.g., games).",,,,,,,,
360,A case study for investigating which changes requirements engineers perform on use cases over time and which of them are more problematic in difficulty or risk in order to understand the maintainability of use cases.,,,evolution,use case,,,,
361,A solution for calculating how likely a natural-language requirement statement is to be impacted by a change in order to automatically analyze how a change to one requirement impacts other ones.,,,automation,natural language,,,,management
362,A method for eliciting a model of all operational states of a system in order to ease the specification of features based on these operational states.,,,modeling,,feature,,,elicitation
363,A method for capturing inconsistencies between stakeholders' goals and beliefs and resolving goal conflicts.,consistency,,,,goals,,,
364,"A case study on prototyping in an agile RE project in order to examine the potential to solve the challenges of agile RE, especially the lack of documentation, the motivation for RE work, and poor quality communication.",,communication,other,,,,,
365,A document-driven study in the industry on the use of passive voice and weak words in requirements showing that passive voice is almost never problematic.,,,,natural language,,,,
366,An experiment with students and practitioners on the use of a mobile tool for model-based sketching of free-form diagrams allowing for the definition and reuse of diagramming notations on the fly in order to assess the usefulness of the tool.,,,"reuse, modeling",,,,,
367,A solution for automatically extracting and tracking non-functional requirements from the textual content of requirements specifications.,,,automation,natural language,quality ====>,generic,,
368,An experience report on a failed project in which the customer eventually decided to take over the development themselves in order to investigate requirements-related root causes for such decision.,,,,,,,,
369,A set of two empirical studies (online survey to practitioners and experiment with students) on the creation and use of software requirement specifications in companies and the impact of their quality in subsequent development activities.,,,,general,,,,
370,A case study on the effectiveness of a particular method to visually represent requirements evolution histories.,,,"visualization, evolution",,,,,
371,A document-driven study on the differences between documented non-functional and functional requirements in industrial requirements specifications in order to assess how sharp this distinction is in practice.,,,,,"functional, quality ====>",generic,,documentation
372,An interview-based study on reusable probing questions used to gather information for architectural decision-making in order to equip business analysts with these questions.,,,"reuse, decision-making",,architecture,,,
373,A method to automatically revise goals that may be underspecified or partially wrong to resolve obstructions in a given domain.,completeness,,"quality assurance, automation",,goals,,,
374,A method to discover security requirements in continuously evolving threat landscapes which lead to new tacit knowledge that is embedded in or across a variety of security incidents.,,,,,quality ====>,security,,elicitation
375,An interview-based study to explore requirements engineering practitioners' perceptions and attitudes towards sustainability.,,other,,,quality ====>,other ====>,sustainability,
376,An experience report on teaching requirements engineering for undergraduate students.,,,,,,,,
377,A method for automatically identifying the impact of requirements changes to system design using SysML.,,,automation,other,architecture,,,management
378,An experiment with students for analyzing different software engineering tasks that affect the tracing of the same requirement.,traceability,,,,,,,
379,A specification language for modeling both rich configurations and expressive temporal properties in order to make formal verification of systems involving these properties.,,,modeling,,,,,validation and verification
380,A method for automatically decomposing on-the-fly formal specifications and verify them seamlessly in order to support industrial-scale applicability of formal verification techniques.,,,automation,,,,,validation and verification
381,A method for runtime self-adaptation ensuring the satisfaction of multiple goals while simultaneously reaching optimality to an additional goal and achieving robustness to environmental disturbances.,,,execution,,goals,,,
382,A method for on-line analysis of formal specifications able to cope efficiently with the evolution of such specifications in order to support adoption of such techniques in industrial contexts.,,,"formalization, evolution",,,,,
383,A method for mining performance specifications from running systems that allow performance regression testing and performance monitoring.,,,execution,,quality ====>,performance efficiency,,
384,A method for deciding the plan for the next software release considering the risk of different perceptions of value and different revenues associated with multiple (groups of) stakeholders.,,subjectivity,decision-making,,,,,
385,A method for integrating goal-oriented requirements engineering and multi-criteria decision making for problem modeling and analysis.,,,"decision-making, modeling",goal model,goals,,,
386,A data-driven study on the performance of a set of information retrieval algorithms for computing traceability in issue tracking systems.,traceability,,automation,,,,,
387,A case study on understanding how stakeholder influence and collaboration patterns evolve over time and how innovation and time-to-market evolve over the same period of time.,,collaboration,evolution,,,,,
388,A multi-experiment with students for comparing the accuracy and performance of different query representation techniques in order to improve the ability to provide critical feedback to users making queries.,,,,,,,,
389,A method for searching certain classes of potential problems in business process models related to their incompleteness of the ambiguity of their labels.,"unambiguousness, completeness",,,business model,,,,
390,A method for classifying automatically legal cross references across several provisions which refer to a single compliance requirement.,,,automation,,quality ====>,other ====>,legal and regulations,
391,"A case study on measuring the frequency of eight types of requirements defects (e.g., incompleteness) and refining them according to nine possible defect sources (e.g., wording).",general,,,,,,,
392,"A model for relating gamification, stakeholder engagement and RE performance in agile processes in order to increase stakeholder engagement adequately in each RE phase.",,other,,,,,,
393,A data-driven study for uncovering detailed relations between requirements and design decisions and demonstrate the effectiveness of a particular documentation approach for decision-related knowledge.,,,decision-making,,,,,
394,A multi-instrument study (survey followed by interviews) with industry on their productivity and the quality of their working documents when using user stories.,,,,user story,,,,
395,"A literature review on reported evidence on customer input during continuous deployment in software engineering, including potential benefits, challenges, methods, and tools.",,,,,,,,
396,A literature study on specific threats to validity in controlled experiments with student participants and on mitigation strategies for these threats.,,,,,,,,
397,A conceptual framework for integrating lean principles within design science research phases and outputs exemplified with the planning and execution of software and requirements engineering research projects,,,,,,,,
398,An experiment with students on comparing through eye tracking the way specifications are read depending on their presentation format and considering different role perspectives.,,skills,,general,,,,
399,A case study for assessing the impact of a real legal change proposal on an existing specification model using model-based simulation techniques.,,,"other, modeling",,,,,
400,"A process for putting together agile development, DevOps, and innovation management in order to embed technological innovations into the overall system.",,,,,process,,,
401,"A state of the art report on the status quo, challenges, findings and possible directions in RE for health data analytics.",,,,,,,,
402,A method for revising software requirements specifications (SRS) through inspection at two different levels of abstraction in order to assess the SRS quality.,,,quality assurance,general,,,,
403,A study based on interviews with practitioners and a literature review for building a body of knowledge for traceability in order to assist engineers how to implement traceability in a project.,traceability,,,,,,,
404,"An experience report on the process followed to elicit, classify, prioritize, and validate privacy requirements for a privacy platform involving public administration and citizens.",,,,,"process, quality ====>",other ====>,privacy,"elicitation, validation and verification"
405,A case study for understanding how experts can elicit security demands from stakeholders of the application domain and derive security policy templates.,,,,,quality ====>,security,,elicitation
406,A training program for assisting requirement authors through a network of trained experts in the context of large projects with dozens of such authors.,,skills,,,,,,
407,An ontology for describing properties of data and systems that allow to generate and manage privacy requirements in order to integrate the legal and engineering perspectives.,,,,,quality ====>,other ====>,privacy,
408,An experience report on applying a tailored INCOSE requirements engineering process to the specificities of retrofittable subsea equipment systems.,,,,,process,,,
409,A multi-case study with practitioners on the lessons learned using a set of templates for requirements written in natural language during six years.,,,,natural language,,,,documentation
410,A method for specifying changes in intentions over time and simulating such changes in order to make trade-off decisions about the evolution of requirements.,,,"decision-making, evolution",,,,,
411,"An online survey on the ability of laypersons, technical professionals, and legal experts to judge the similarity between legal coverage conditions and requirements.",,skills,,,quality ====>,other ====>,legal and regulations,
412,An interview-based study with practitioners for identifying a set of cues appearing in linguistic expressions that typically lead to ambiguity in order to improve customer-analyst communication.,unambiguousness,communication,,natural language,,,,
413,A study based on case studies and interviews with practitioners for identifying challenges involved in collaborative traceability management and how traceability can be used to enable collaboration.,traceability,collaboration,,,,,,management
414,A process for automatically discovering requirements knowledge from large sets of domain documents in order to assist organizations in entering new domains.,,,automation,other,,,,elicitation
415,A framework for helping analysts in identifying system misuse cases using formal reasoning about social norms in order to avoid data breaches originating from such misuses.,,,formalization,use case,,,,
416,A framework for specifying performance requirements based on sentence patterns in order to reduce their level of incompleteness.,completeness,,reuse,,quality ====>,performance efficiency,,documentation
417,A tool for connecting textual notes and video recording when holding requirements elicitation workshops supporting enhanced analysis in order to mitigate the scribe's overload.,,other,,"other, natural language",,,,elicitation
418,A literature review on the existing approaches in goal-oriented RE in order to provide research directions in this area.,,,,,goals,,,
419,An experiment with students for validating that modeling separately the stakeholder viewpoints and then explicitly merging them leads to a richer domain understanding than constructing a single coherent requirements model.,,,modeling,,,,,
420,An interview-based study with practitioners for knowing the current practices of presenting and manipulating artifacts in documentation tools in order to understand how well these tools support requirements engineers.,,,,general,,,,documentation
421,An experiment with academics for exploring the impact of violating goal model layout guidelines onto the understandability of the requirements represented in such model.,understandability,,,goal model,,,,
422,A data-driven study for understanding the communication about software applications on Twitter and its relevance for RE and software evolution.,,communication,evolution,,,,,
423,A method for eliciting security requirements related to the acquisition of information about the system by methods that deeply include non-technical means.,,,,,quality ====>,security,,elicitation
424,"An interview-based study with practitioners on the current practices for writing, maintaining and linking requirements and acceptance test documentation in agile projects.",traceability,,,,,,,documentation
425,An analysis of the adequacy of different natural language processing techniques and machine learning features for identifying software feature requests in issue tracking systems.,,,automation,"review report, natural language",,,,elicitation
426,A model for understanding the implications of privacy requirements vagueness in aligning company's privacy policies with their data practices in order to reduce privacy risks.,unambiguousness,,,,quality ====>,other ====>,privacy,
427,A literature review on the existing approaches in the visualization techniques available in RE.,,,visualization,,,,,
428,A case study on generating and rating ideas from the crowd in order to understand how human personality and creative potential influence requirement acquisition from the crowd.,,"skills, creativity",,,,,,elicitation
429,"A method for automatically deriving conceptual data models from user stories written in natural language in order to create a holistic view of the requirements specification,",,,"automation, modeling","user story, other",,,,
430,A method for enlarging traditional traceability approaches with information linking documents generated during traditional and agile methodologies in order to ease the transition to agile development.,traceability,,,,,,,
431,A case study on the need for requirement change control policies and formal processes to coexist with informal requirement change management in globally distributed settings.,,,evolution,,,,,management
432,A taxonomy for classifying requirement errors and for guiding developers to find additional faults based on the type of usual human errors in order to avoid requirement engineers to make the same errors in the future.,,,quality assurance,,,,,
433,A data-driven study for understanding the effect of size and layout flaws in the comprehension of several types of UML specification models.,understandability,,modeling,,,,,
434,An experiment with students for investigating reading patterns and learning styles of software requirement inspectors for in order to enhance inspection team outcome.,,skills,quality assurance,,,,,
435,A framework for supporting a systematic and comprehensive discovery of security goals for a system.,,,,,"goals, quality ====>",security,,elicitation
