lfdn,lfdn_original,v_5,v_6,v_11,v_118,v_119,v_120,v_121,v_12,v_14,v_15,v_16,v_19,v_124,v_5_6_integrated,v_15_16_integrated,v_11_coded,v_19_coded
124,642,Tester / Test Manager,NotAnswered,4,not quoted,quoted,quoted,not quoted,Yes,Larger (10-49),(Business) information systems,NotAnswered,e-commerce - retail,Italy,Tester / Test Manager,(Business) information systems,4.0,E-Commerce
125,643,Other (please specify),CTO,1,quoted,quoted,not quoted,not quoted,Yes,Very large (50+),(Business) information systems,NotAnswered,Ecommerce,Brazil,Manager,(Business) information systems,1.0,E-Commerce
126,650,Developer,NotAnswered,13,not quoted,quoted,quoted,not quoted,Yes,Small (1-4),(Business) information systems,NotAnswered,intranets,Canada,Developer,(Business) information systems,13.0,ICT
127,666,Requirements Engineer,NotAnswered,7,quoted,quoted,quoted,not quoted,No,Small (1-4),Hybrid / mix of embedded systems and information systems,NotAnswered,Telecommunications,Sweden,Requirements Engineer,Hybrid / mix of embedded systems and information systems,7.0,ICT
128,682,Developer,NotAnswered,Since 2014,not quoted,quoted,quoted,not quoted,Yes,Larger (10-49),(Business) information systems,NotAnswered,Healthcare,Brazil,Developer,(Business) information systems,4.0,Healthcare
129,716,Requirements Engineer,NotAnswered,10,quoted,not quoted,not quoted,not quoted,Yes,Medium (5-10),Software-intensive embedded systems,NotAnswered,"Automotive, Telecommunication ",Sweden,Requirements Engineer,Software-intensive embedded systems,10.0,Multiple Sectors
130,772,Project Manager,NotAnswered,8,quoted,not quoted,not quoted,not quoted,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,marine,China,Project Manager,Hybrid / mix of embedded systems and information systems,8.0,Transportation
131,774,Requirements Engineer,NotAnswered,About 2 years.,not quoted,not quoted,quoted,not quoted,Yes,Larger (10-49),(Business) information systems,NotAnswered,Financial industry.,China,Requirements Engineer,(Business) information systems,2.0,Financial Services
132,775,Other (please specify),"I am a researcher, also working with customers in industry.",3,quoted,not quoted,not quoted,not quoted,Yes,Medium (5-10),(Business) information systems,NotAnswered,Healthcare,China,Researcher,(Business) information systems,3.0,Healthcare
133,784,Product Owner,NotAnswered,2,not quoted,not quoted,quoted,not quoted,Yes,Larger (10-49),Other (please specify),online education systems,educational informationization,China,Product Owner,Consumer Software,2.0,Education
134,792,Project Manager,NotAnswered,six years,quoted,not quoted,not quoted,not quoted,Yes,Medium (5-10),Hybrid / mix of embedded systems and information systems,NotAnswered,automotive,China,Project Manager,Hybrid / mix of embedded systems and information systems,6.0,Automotive
135,852,Developer,NotAnswered,4,not quoted,not quoted,not quoted,quoted,Yes,Larger (10-49),(Business) information systems,NotAnswered,Enterprise software,Canada,Developer,(Business) information systems,4.0,Software
136,866,Business Analyst,NotAnswered,4years,not quoted,quoted,not quoted,not quoted,Yes,Medium (5-10),(Business) information systems,NotAnswered,aviation,China,Business Analyst,(Business) information systems,4.0,Aeronautics
137,872,Business Analyst,NotAnswered,4,not quoted,quoted,not quoted,not quoted,Yes,Medium (5-10),(Business) information systems,NotAnswered,"technology, techcommunications and media",China,Business Analyst,(Business) information systems,4.0,ICT
138,881,Requirements Engineer,NotAnswered,14,quoted,not quoted,not quoted,not quoted,Yes,Medium (5-10),Software-intensive embedded systems,NotAnswered,Telecommunications semiconductors,Germany,Requirements Engineer,Software-intensive embedded systems,14.0,Hardware
139,885,Other (please specify),"Product owner, business analyst,  arthitect",5,quoted,quoted,quoted,not quoted,Yes,Medium (5-10),Other (please specify),ERP,"Garment Ind, software house",Malaysia,Multiple Roles,(Business) information systems,5.0,Software
140,890,Other (please specify),"Researcher, academic project advisor (involves some RE responsabilities)",13,not quoted,quoted,quoted,not quoted,Yes,Small (1-4),(Business) information systems,NotAnswered,Education,Uruguay,Researcher,(Business) information systems,13.0,Education
141,906,Requirements Engineer,NotAnswered,18,quoted,not quoted,not quoted,not quoted,Yes,Very large (50+),Other (please specify),"All of the above, along with hardware ",Computer engineering,United States,Requirements Engineer,Hybrid / mix of embedded systems and information systems,18.0,Hardware
142,915,Business Analyst,NotAnswered,20,quoted,quoted,not quoted,not quoted,Yes,Medium (5-10),(Business) information systems,NotAnswered,Finance,Sweden,Business Analyst,(Business) information systems,20.0,Financial Services
143,919,Developer,NotAnswered,2,not quoted,quoted,quoted,not quoted,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,Aerospace and defense,United States,Developer,Hybrid / mix of embedded systems and information systems,2.0,Aeronautics
144,922,Business Analyst,NotAnswered,"4,5",quoted,not quoted,not quoted,not quoted,Yes,Medium (5-10),(Business) information systems,NotAnswered,Consultant,Brazil,Business Analyst,(Business) information systems,4.5,Consulting
145,930,Requirements Engineer,NotAnswered,45,not quoted,quoted,not quoted,not quoted,Yes,Larger (10-49),Hybrid / mix of embedded systems and information systems,NotAnswered,transportation ,United States,Requirements Engineer,Hybrid / mix of embedded systems and information systems,45.0,Transportation
146,939,Developer,NotAnswered,30,not quoted,quoted,not quoted,not quoted,Yes,Larger (10-49),Software-intensive embedded systems,NotAnswered,Avionics,United States,Developer,Software-intensive embedded systems,30.0,Aeronautics
147,944,Tester / Test Manager,NotAnswered,2.5,not quoted,quoted,not quoted,not quoted,Yes,Medium (5-10),Software-intensive embedded systems,NotAnswered,avionics and electrical,Mexico,Tester / Test Manager,Software-intensive embedded systems,2.5,Aeronautics
148,965,Tester / Test Manager,NotAnswered,8,quoted,quoted,quoted,not quoted,Yes,Medium (5-10),(Business) information systems,NotAnswered,IT,Portugal,Tester / Test Manager,(Business) information systems,8.0,ICT
149,995,Tester / Test Manager,NotAnswered,13,not quoted,quoted,not quoted,not quoted,Yes,Very large (50+),Software-intensive embedded systems,NotAnswered,Network video,Sweden,Tester / Test Manager,Software-intensive embedded systems,13.0,ICT
150,1015,Project Manager,NotAnswered,10,quoted,not quoted,not quoted,not quoted,Yes,Small (1-4),Software-intensive embedded systems,NotAnswered,Academic,Chile,Project Manager,Software-intensive embedded systems,10.0,Education
151,1024,Business Analyst,NotAnswered,20,quoted,quoted,not quoted,not quoted,Yes,Very large (50+),Hybrid / mix of embedded systems and information systems,NotAnswered,automotive,Germany,Business Analyst,Hybrid / mix of embedded systems and information systems,20.0,Automotive
152,1027,Other (please specify),R&D,3,not quoted,not quoted,not quoted,quoted,No,Small (1-4),(Business) information systems,NotAnswered,Innovation Ecosystem,Chile,Researcher,(Business) information systems,3.0,Consulting
153,1029,Developer,NotAnswered,7,not quoted,not quoted,quoted,not quoted,Yes,Small (1-4),Software-intensive embedded systems,NotAnswered,e-government,Portugal,Developer,Software-intensive embedded systems,7.0,Public Sector
